reaction_1_Keq	reaction_1_KmP	reaction_1_KmS	reaction_1_Vmf	reaction_2_Hexokinase_KiGlc6P	reaction_2_Hexokinase_KmATP	reaction_2_Hexokinase_KmGlucose	reaction_2_Hexokinase_Vmf	reaction_3_HPI_Keq	reaction_3_HPI_Ki1	reaction_3_HPI_Ki2	reaction_3_HPI_Ki3	reaction_3_HPI_Kmp	reaction_3_HPI_Kms	reaction_3_HPI_Vmf	reaction_4_KADP	reaction_4_KFru16BP	reaction_4_KaFru26BP	reaction_4_KiATP	reaction_4_KiCIT	reaction_4_KmATP	reaction_4_KmFru6P	reaction_4_L	reaction_4_Vm	reaction_4_alpha	reaction_4_beta	reaction_4_keq	reaction_5_Aldolase_Keq	reaction_5_Aldolase_Kmp	reaction_5_Aldolase_Kmq	reaction_5_Aldolase_Kms	reaction_5_Aldolase_Vmf	reaction_6_TPI_Keq	reaction_6_TPI_KmP	reaction_6_TPI_KmS	reaction_6_TPI_Vmf	reaction_7_GAPDH_KA	reaction_7_GAPDH_KB	reaction_7_GAPDH_KC	reaction_7_GAPDH_KP	reaction_7_GAPDH_KQ	reaction_7_GAPDH_Keq	reaction_7_GAPDH_Vmf	reaction_8_PGK_Ka	reaction_8_PGK_Kb	reaction_8_PGK_Keq	reaction_8_PGK_Kp	reaction_8_PGK_Kq	reaction_8_PGK_Vmf	reaction_9_PGAM_Keq	reaction_9_PGAM_KmP	reaction_9_PGAM_KmS	reaction_9_PGAM_Vmf	reaction_10_Enolase_Keq	reaction_10_Enolase_KmP	reaction_10_Enolase_KmS	reaction_10_Enolase_Vmf	reaction_11_KADP	reaction_11_KATP	reaction_11_KPEP	reaction_11_KPYR	reaction_11_KaF16BP	reaction_11_KaSer	reaction_11_Keq	reaction_11_KiATP	reaction_11_L	reaction_11_Vm	reaction_12_LDH_Ka	reaction_12_LDH_Kb	reaction_12_LDH_Keq	reaction_12_LDH_Kp	reaction_12_LDH_Kq	reaction_12_LDH_Vmf	reaction_13_KcatC	reaction_13_KmP	reaction_13_Kms	reaction_13_SerC	reaction_14_KcatB	reaction_14_KmP	reaction_14_Kms	reaction_14_SerB	reaction_15_KcatD	reaction_15_KmP	reaction_15_Kms	reaction_15_SerD	reaction_16_MCT_Keq	reaction_16_MCT_KmP	reaction_16_MCT_KmS	reaction_16_MCT_Vmf	reaction_17_k1	reaction_17_k2	reaction_18_k1	reaction_22_v	reaction_25_PDH_KcatA	reaction_25_PDH_KiSER	reaction_25_PDH_KmP	reaction_25_PDH_Kms	reaction_25_PDH_SerA	AK_k1	AK_k2	MPM_K	MPM_Keq	SERout_k1	SERout_k2	GLYout_k1	GLYout_k2	TK_v	PGLM_PGLM_Keq	PGLM_PGLM_Kmp	PGLM_PGLM_Kms	PGLM_PGLM_Vmax	UPP_Keq	UPP_KmA	UPP_KmB	UPP_KmP	UPP_KmQ	UPP_Vmax	GS_GS	GS_Kcat	GS_KprATP	GS_KptATP	GS_KrATP	GS_KrGlc6P	GS_KtATP	GS_KtGlc6P	GS_Kudpg	GS_L	GS_n	GP_GP_KGlyb	GP_GP_KGlyf	GP_GP_Keq	GP_GP_KiGlc1P	GP_GP_KiGlyb	GP_GP_KiGlyf	GP_GP_Kipi	GP_GP_Kpi	GP_GP_Vmaxf	PPASE_PPASE_Km	PPASE_PPASE_V	NDK_NDK_Keq	NDK_NDK_KmADP	NDK_NDK_KmATP	NDK_NDK_KmUDP	NDK_NDK_KmUTP	NDK_NDK_Vmax	
0.998329	10.1334	8.25053	0.0183173	0.256821	0.799145	0.36973	0.0294244	0.458675	0.000853973	0.0101234	0.0937248	0.0420375	0.394482	0.173091	1.10493	10.2055	0.00115182	2.06222	8.41781	0.0284814	1.12641	7.22536	0.00287823	1.0297	1.23138	658.425	0.0863984	0.617964	0.370414	0.00300087	0.206423	0.0438695	0.43765	0.583831	3.92714	0.0300404	0.0358408	4.34754	0.0154735	0.0123113	0.0857803	2.00439	0.000436754	0.160498	3161.44	0.0893865	0.124389	16.196	0.137341	0.124737	0.420195	1.33146	3.05796	0.44086	0.175364	0.468181	0.218564	0.559144	0.168155	0.842702	0.000180402	4.15101	289874	0.217051	2.2937	2.82249	0.190191	0.094777	31240.2	5.74186	4.08151	4.23742	1.90554	0.0410884	0.0451703	0.0941621	2.31608	0.142373	0.0368948	0.24349	21.0247	0.705873	0.167818	0.123855	1.00751	5.62856	3.34206	2.94054	204969	842.237	0.00494076	9.1935e-05	0.704066	0.00365064	0.00369982	1.09946	1.16233	0.940662	2.35957	0.013209	6.35371e+08	7.15231	5.23294	5.8131	3.84599	9.36965e-05	19.1666	0.0105985	0.0302728	2147.57	0.288308	0.994023	0.346355	0.0636344	0.365239	197.844	0.003	711.486	9.57302	3.91647	6.9241	0.0536337	2.49325	0.313998	0.683946	0.231823	4	0.159449	2.09521	0.127736	13.9492	3.85318	30.1035	5.32819	4.80516	34.095	0.96866	0.238438	1.25787	0.0524947	2.28424	0.184764	21.4943	1.90569e-05	
1.06457	12.4803	6.2722	0.026269	0.273277	0.864069	0.369475	0.0238557	0.396836	0.000959447	0.0223031	0.0985119	0.0824964	0.425832	0.165183	1.09045	13.8169	0.00100539	1.96855	7.70866	0.0294788	1.47337	3.45746	0.002975	0.187811	1.01068	543.531	0.0721472	0.784189	0.388279	0.00240894	0.162137	0.0414826	0.367799	0.586464	1.44925	0.0243496	0.0339672	3.8571	0.0119657	0.0116042	0.0826367	1.72213	0.000738112	0.0939246	1908.65	0.0464644	0.102797	13.039	0.198849	0.151079	0.39276	1.55438	2.34419	0.518161	0.129898	0.348112	0.262708	0.622679	0.173961	0.780001	0.000144817	3.98816	152637	0.244358	2.12545	3.28809	0.314811	0.0817656	40413.7	9.48037	4.2589	3.24191	2.13499	0.0372327	0.0440241	0.102013	2.1187	0.144587	0.0368327	0.259559	17.4268	0.94112	0.183605	0.117849	0.966724	5.76435	8.43802	3.49367	67444.8	534.989	0.00387308	9.8854e-05	0.486544	0.0043776	0.00329499	1.16311	1.13432	0.952649	2.27483	0.0151358	6.81041e+08	7.27627	10.1992	2.88124	5.70067	9.97817e-05	18.3483	0.0105479	0.0456774	2252.68	0.35386	0.847947	0.379604	0.063643	0.38348	215.498	0.003	739.597	10.9818	4.95583	4.70565	0.0877459	1.99079	0.313082	0.805961	0.251883	4	0.148489	1.12439	0.276109	9.88745	4.17399	14.876	4.90268	4.77978	33.58	1.51801	0.345634	3.72423	0.0227419	1.92838	0.169511	47.2328	4.74937e-06	
0.926111	10.6215	31.8743	0.0120059	0.259393	1.03375	0.372448	0.0140262	0.481521	0.000811699	0.0262055	0.0927398	0.0909006	0.412883	0.166834	0.879922	13.1885	0.000861877	1.99901	9.18947	0.0305502	1.38765	5.21841	0.00239659	0.531403	1.52216	727.446	0.0602148	0.455757	0.377893	0.00293641	0.227747	0.0439604	0.402734	0.582652	2.52519	0.0177789	0.0320484	4.18351	0.00963362	0.010959	0.0840106	1.75719	0.000261958	0.0910742	2911.21	0.0628984	0.0979896	9.31902	0.189501	0.19232	0.526422	2.59086	6.97253	0.82418	0.247204	0.389746	0.221223	0.703678	0.157227	0.709256	0.000387651	5.45053	77150.8	0.207627	2.17416	2.57385	0.0925427	0.090199	22442.8	4.38887	3.91809	3.09396	1.86523	0.0412831	0.0275694	0.0935013	1.92237	0.129815	0.0349656	0.243396	17.9297	0.897232	0.38212	0.114424	1.05562	5.04312	3.33404	3.12225	226668	489.11	0.00363297	6.10532e-05	0.566243	0.00362521	0.00393697	1.18802	1.08261	1.00649	2.13331	0.0147271	7.03718e+08	3.35894	7.03519	6.79614	10.4654	8.42997e-05	17.389	0.0113647	0.0374376	1998.54	0.243458	0.887264	0.395627	0.0628845	0.364087	178.794	0.003	589.569	11.1722	4.02859	4.21145	0.0684927	3.28478	0.403218	0.790044	0.322131	4	0.147127	1.95855	0.127907	10.0956	3.0226	11.7731	9.44477	4.69871	31.3864	0.415178	0.7219	0.695408	0.0563367	1.26254	0.178121	22.4347	1.25029e-05	
0.989249	11.77	5.73172	0.0220314	0.200407	0.803755	0.369433	0.0134458	0.416459	0.000873696	0.0130854	0.0733508	0.0630543	0.417502	0.173159	1.14506	13.5431	0.00108777	1.98131	4.24129	0.029731	1.11259	6.21973	0.00389396	0.714126	1.15638	717.648	0.100346	0.597649	0.378107	0.00390441	0.142242	0.0437209	0.384262	0.58109	2.4226	0.0116745	0.034179	3.68675	0.010357	0.0112164	0.0732025	1.85343	0.000495815	0.117312	2069.72	0.0325038	0.131709	16.7576	0.165324	0.227601	0.318429	1.39571	8.62376	0.366117	0.205413	0.46936	0.262792	0.605439	0.168318	0.664303	0.00024931	3.04402	110399	0.20748	2.00316	4.37136	0.193687	0.103738	33623	5.15971	3.72172	3.74696	1.65675	0.0333106	0.0665352	0.108538	1.2434	0.168336	0.0362924	0.248388	19.6426	1.03125	0.542171	0.114986	1.06635	2.14827	4.34715	2.33689	72905.1	760.18	0.00318594	0.000196344	0.518276	0.00359064	0.00379946	1.26767	1.2164	0.952869	2.19796	0.025554	6.96502e+08	6.56096	6.87387	4.01206	4.75485	8.52532e-05	18.4961	0.0108635	0.0427343	1822.93	0.161422	0.927392	0.475072	0.0633303	0.394353	236.391	0.003	770.501	15.8075	4.17259	2.72832	0.0680081	2.93472	0.348096	0.689011	0.227043	4	0.188787	2.55952	0.290965	9.13791	6.62105	31.6446	7.00115	3.64138	30.8547	0.682283	0.718115	0.864107	0.0682424	1.89533	0.152695	36.1124	2.32014e-06	
1.00916	8.47391	7.70585	0.0141599	0.138037	0.865976	0.36458	0.0143856	0.408529	0.000939407	0.0215675	0.0946618	0.0681009	0.386832	0.162191	0.923197	10.6521	0.00119168	1.99962	3.05907	0.0300305	0.922036	9.03477	0.0018888	0.437618	1.46366	466.94	0.0653427	0.496271	0.384768	0.00256428	0.273552	0.0474128	0.333796	0.594817	2.83554	0.010143	0.0448343	3.75491	0.014429	0.0113302	0.0723342	1.82589	0.000204311	0.122247	3508.11	0.057845	0.0922058	13.395	0.183068	0.196447	0.172725	2.2215	4.34023	0.716574	0.145809	0.234407	0.246976	0.67576	0.164174	4.45964	0.00017445	5.09812	77142.1	0.254801	2.00945	3.60422	0.137478	0.0712237	20040.2	2.69242	3.9786	3.9735	2.27032	0.0342826	0.0648215	0.0995859	2.77658	0.150513	0.0357397	0.285651	18.5588	0.689889	0.329362	0.109471	0.975841	4.07237	3.25289	2.62755	116333	669.71	0.0044742	0.000151047	0.450218	0.00275919	0.0026407	1.24712	1.21492	1.00849	2.41274	0.0158002	6.59049e+08	6.03953	3.14526	2.66961	3.34232	9.82183e-05	17.5659	0.01114	0.0400962	1816.08	0.276224	0.942958	0.379634	0.0629087	0.369518	196.233	0.003	1764.5	25.5572	3.98333	3.93836	0.0727908	2.33028	0.329032	0.555107	0.411765	4	0.127797	1.51476	0.394646	10.677	4.88559	11.2358	6.72752	2.58175	33.2244	1.33921	0.13169	0.621248	0.0463616	1.72922	0.154185	34.8985	1.37856e-05	
0.947241	10.175	5.80701	0.0211956	0.360512	0.962758	0.368954	0.0133889	0.504326	0.000905204	0.0136584	0.0802707	0.0347098	0.408561	0.170152	1.12933	16.4488	0.000962059	2.024	7.22583	0.027518	0.938582	2.62535	0.00239765	0.657747	1.19214	915.551	0.0863458	0.435206	0.368346	0.00237312	0.230363	0.0463847	0.370608	0.589572	1.6271	0.0202244	0.0315768	3.91102	0.0134366	0.0106598	0.0807738	2.46645	0.000585322	0.12995	4286.32	0.058163	0.122733	8.94714	0.159253	0.22268	0.341942	3.70758	4.19809	0.920024	0.184663	0.307173	0.201378	0.750559	0.185685	13.7495	0.000195521	2.47903	84880.7	0.14925	2.48912	1.39502	0.0624617	0.10758	22571.1	7.32029	3.96342	4.25735	1.76168	0.0412529	0.0609701	0.100874	4.60308	0.144966	0.0361251	0.245546	15.2728	0.903519	0.434696	0.118858	1.0168	3.96308	4.53701	2.29194	136851	677.941	0.00570729	9.74248e-05	0.613388	0.00398758	0.0035974	1.33113	1.08219	1.00389	2.22428	0.00634651	7.09278e+08	3.53981	5.69185	4.50692	2.1652	9.08994e-05	18.3329	0.0112755	0.0378928	1779.01	0.359227	1.06275	0.459461	0.0628045	0.375588	230.703	0.003	559.887	7.29028	3.62265	5.94078	0.105337	2.53515	0.260926	0.882843	0.271609	4	0.162237	1.86378	0.486723	18.1875	5.83653	15.329	2.92178	2.46037	33.5944	2.12895	0.106663	1.06293	0.0532523	1.63526	0.150624	21.7776	5.03309e-06	
1.10195	10.205	10.6097	0.0184715	0.265095	0.878425	0.368455	0.021143	0.474293	0.000879857	0.0117142	0.0710439	0.0904862	0.364141	0.162885	0.830302	13.3848	0.00114429	1.96658	11.2585	0.0306347	1.53975	4.86622	0.00326555	0.272613	1.14894	390.158	0.0521698	0.357634	0.384239	0.00192943	0.321361	0.0519083	0.407792	0.588116	4.95892	0.00812809	0.0453106	4.24638	0.0117045	0.0118663	0.0716199	2.10367	0.000593246	0.135307	1872.78	0.0518436	0.0818656	20.9297	0.16187	0.103026	0.525438	2.8011	6.20179	0.30803	0.126248	0.423721	0.259695	0.585716	0.188244	7.05105	0.000344344	2.00829	90589.8	0.184662	2.2529	1.92661	0.0652184	0.0724649	46521.1	4.13224	3.75077	3.14564	1.63184	0.0421444	0.0658153	0.0998082	4.68773	0.147939	0.0363427	0.243186	21.4153	0.983411	0.568624	0.107926	0.939451	4.71499	5.44186	2.90374	115550	424.996	0.0036546	0.000105643	0.545364	0.00495839	0.00386127	1.02756	1.11168	0.982748	2.40869	0.0134373	7.29067e+08	3.78249	8.76076	3.85367	4.92502	9.04448e-05	17.7262	0.00982019	0.0385643	2595.52	0.263924	1.07317	0.289009	0.0638722	0.397971	192.714	0.003	748.358	11.8523	4.66844	4.32409	0.0750562	2.07302	0.439239	0.835319	0.248694	4	0.125414	1.32768	1.00871	8.94306	4.00446	11.6929	5.85633	3.33085	29.5686	2.14875	0.370577	0.35408	0.0568539	1.76538	0.174905	33.5844	8.00231e-06	
1.02873	10.9213	7.1904	0.00935914	0.297002	0.931951	0.3752	0.0271086	0.458883	0.000832696	0.0117656	0.0765666	0.0330325	0.424692	0.181129	0.90424	7.56926	0.00123947	2.08309	7.55661	0.0297374	1.0729	10.173	0.00669618	0.716197	1.10233	435.861	0.0501658	0.375677	0.377902	0.00210921	0.147614	0.0418886	0.401663	0.602855	4.02337	0.0182654	0.0283121	4.08288	0.0120939	0.0105903	0.077863	1.51007	0.000627683	0.100718	3100.87	0.0535685	0.123345	6.98277	0.183232	0.169401	0.296443	0.931469	2.20856	0.533237	0.249747	0.401951	0.274909	0.650995	0.168801	15.2216	0.00035574	2.66038	107401	0.184127	2.19468	3.32854	0.157501	0.089156	41706.4	5.62735	4.19529	2.97308	1.86327	0.0326765	0.0948024	0.104499	2.74091	0.148655	0.0354006	0.242739	15.7687	0.775849	0.347121	0.110525	1.03984	5.21616	6.96838	3.45045	97025.8	1074.65	0.00400057	9.27197e-05	0.600376	0.00301493	0.00356574	1.1635	1.23833	1.00991	2.27264	0.0131566	7.1259e+08	10.3767	5.70582	4.33571	9.1882	0.000101042	18.9024	0.0102447	0.0366506	2192.21	0.23636	0.942894	0.405734	0.0631479	0.388482	215.671	0.003	766.283	14.0629	3.06042	4.13517	0.0697704	2.2996	0.28695	1.02433	0.249295	4	0.191509	1.94358	0.45415	6.57727	2.99591	8.44412	4.84142	5.56379	30.1004	0.467925	0.540638	0.607991	0.0456524	1.85509	0.170513	18.9935	6.75062e-06	
1.01552	16.6312	21.4514	0.0213108	0.382901	0.757448	0.369241	0.00939028	0.467133	0.000907813	0.0193072	0.070593	0.0887148	0.366388	0.166464	0.732056	10.2808	0.000871426	2.02476	14.5222	0.0295889	1.03098	5.7369	0.00500999	0.348529	1.39338	398.032	0.0932007	0.658047	0.387436	0.00273794	0.191769	0.0601524	0.419768	0.581262	3.31368	0.018713	0.0384517	4.08416	0.0107264	0.0107857	0.0802045	2.25162	0.00065526	0.127437	2722.75	0.0724623	0.137569	18.9028	0.159289	0.216337	0.301899	2.23898	8.35111	0.208829	0.144825	0.342849	0.224242	0.674685	0.175789	0.500657	0.000365192	2.3147	143424	0.166543	2.12784	2.70975	0.417879	0.0771277	35379.4	4.59936	4.0979	3.31157	1.73376	0.0347426	0.0700942	0.106519	2.00107	0.16755	0.0353062	0.271148	19.9745	0.728847	0.350188	0.125719	1.04727	1.9235	3.82718	3.23799	86343.4	810.87	0.00388328	0.000115562	0.500112	0.00430489	0.00303063	1.28453	1.08333	0.960259	2.1754	0.0130213	6.90508e+08	12.6385	4.12955	3.22079	4.97413	8.8057e-05	17.9901	0.00912521	0.0364227	2124.65	0.237067	0.99364	0.41203	0.0620838	0.350144	192.147	0.003	916.43	12.6566	4.40311	8.26209	0.0639475	2.05022	0.293866	0.571603	0.192584	4	0.13148	1.40444	0.305407	8.3248	5.65106	20.1427	3.44968	3.3759	30.3369	0.921447	0.532565	2.88191	0.0713888	1.45403	0.152334	24.5674	5.32338e-06	
0.958786	7.18729	3.79585	0.0241355	0.190195	0.739904	0.370111	0.0183745	0.420882	0.000895041	0.0124032	0.0629408	0.0457817	0.352938	0.175105	1.27677	10.631	0.00111132	1.91039	3.44934	0.0299172	1.0743	4.35487	0.00269195	0.423728	1.19481	738.158	0.118776	0.346859	0.391403	0.00263289	0.199667	0.0735049	0.429037	0.594538	1.48535	0.0261939	0.0382504	4.35098	0.0192748	0.00945375	0.0914904	1.53028	0.000937561	0.147374	2598.91	0.0684511	0.123391	11.0099	0.175236	0.198047	0.266003	0.936345	4.91524	0.215355	0.0624559	0.331697	0.31897	0.536441	0.180156	15.4579	0.000370138	2.49294	33013	0.0848786	2.08168	4.0379	0.17363	0.0738578	40822.4	6.48089	4.23134	3.56519	1.55758	0.0387653	0.0515324	0.106639	2.6612	0.165534	0.0365838	0.244297	18.5698	0.838262	0.26558	0.11441	1.07373	3.35206	4.08015	2.7864	412101	290.495	0.00367304	7.43616e-05	0.477793	0.00285908	0.00343077	1.03225	1.18912	0.975537	2.18683	0.00614948	6.44657e+08	5.99052	5.40166	4.07739	1.77209	9.54411e-05	17.868	0.0108839	0.0434998	1890.82	0.298713	1.02603	0.381948	0.0622882	0.400459	220.241	0.003	673.345	17.5243	7.20956	4.9568	0.087475	0.987827	0.33851	0.822697	0.251653	4	0.122703	1.63735	0.658616	11.1322	5.02686	8.95292	5.23371	4.23644	31.999	0.859152	0.430048	0.59795	0.0367486	1.39803	0.154304	27.0902	9.0659e-06	
