GLUT	Hexokinase	HPI	PFK	Aldolase	TPI	GAPDH	PGK	PGAM	Enolase	PYK	LDH	PSA	PSP	SHMT	MCT	DHase	ATPase	PPP	PDH	AK	MPM	SERout	GLYout	TK	PGLM	UPP	GS	GP	PPASE	NDK	
0.00212346	0.00212346	0.00202461	0.00212439	0.00212439	0.00212439	0.00434856	0.00434856	0.000235737	0.000235737	0.000235737	-2.36924e-08	0.00411282	0.00411282	0.00255143	-2.36924e-08	0.00434858	0.00340106	9.8854e-05	0.00411282	7.10543e-15	0.000235761	0.00156139	0.00255143	9.97817e-05	4.95835e-15	2.76534e-07	2.76534e-07	2.76534e-07	2.76534e-07	2.76534e-07	
0.000614382	0.000614382	0.000553329	0.000637628	0.000637628	0.000637628	0.00135956	0.00135956	0.000423691	0.000423691	0.000423691	0.000423625	0.000935865	0.000935865	0.000618873	0.000423625	0.000935932	0.000531718	6.10532e-05	0.000935865	-2.44249e-15	6.65833e-08	0.000316992	0.000618873	8.42997e-05	0	3.84772e-07	3.84772e-07	3.84772e-07	3.84772e-07	3.84772e-07	
0.00014767	0.00014767	-4.86741e-05	3.65791e-05	3.65791e-05	3.65791e-05	0.000158411	0.000158411	6.31586e-05	6.31586e-05	6.31586e-05	6.31586e-05	9.52528e-05	9.52528e-05	6.36857e-05	6.31586e-05	9.52528e-05	3.73175e-05	0.000196344	9.52528e-05	-2.08167e-15	3.53254e-23	3.15671e-05	6.36857e-05	8.52532e-05	-2.94433e-15	3.52262e-09	3.52262e-09	3.52262e-09	3.52262e-09	3.52262e-09	
0.000395231	0.000395231	0.000244184	0.000342402	0.000342402	0.000342402	0.000783023	0.000783023	0.000296724	0.000296724	0.000296724	0.000296724	0.000486299	0.000486299	0.000261572	0.000296724	0.000486299	0.000341965	0.000151047	0.000486299	-2.77556e-15	1.22442e-12	0.000224727	0.000261572	9.82183e-05	0	1.48559e-07	1.48559e-07	1.48559e-07	1.48559e-07	1.48559e-07	
0.000340559	0.000340559	0.000243134	0.000334034	0.000334034	0.000334034	0.000758967	0.000758967	0.000196191	0.000196191	0.000196191	0.000196191	0.000562775	0.000562775	0.000335353	0.000196191	0.000562775	0.000280525	9.74248e-05	0.000562775	-3.44169e-15	2.44796e-15	0.000227422	0.000335353	9.08994e-05	0	4.05153e-08	4.05153e-08	4.05153e-08	4.05153e-08	4.05153e-08	
0.00112717	0.00112717	0.00102153	0.00111197	0.00111197	0.00111197	0.00231439	0.00231439	0.000592364	0.000592364	0.000592364	0.000592291	0.00172203	0.00172203	0.000937053	0.000592291	0.0017221	0.000668331	0.000105643	0.00172203	1.55431e-15	7.28795e-08	0.000784974	0.000937053	9.04448e-05	0	2.27114e-07	2.27114e-07	2.27114e-07	2.27114e-07	2.27114e-07	
0.00140449	0.00140449	0.00131177	0.00141281	0.00141281	0.00141281	0.00292667	0.00292667	0.000614547	0.000614547	0.000614547	0.000614335	0.00231212	0.00231212	0.000772177	0.000614335	0.00231233	0.000726508	9.27197e-05	0.00231212	7.99361e-15	2.11632e-07	0.00153994	0.000772177	0.000101042	0	1.54433e-07	1.54433e-07	1.54433e-07	1.54433e-07	1.54433e-07	
0.000742117	0.000742117	0.000667756	0.000763197	0.000763197	0.000763197	0.00162183	0.00162183	0.000369127	0.000369127	0.000369127	0.000369114	0.00125271	0.00125271	0.000747011	0.000369114	0.00125272	0.000485645	7.43616e-05	0.00125271	6.66134e-16	1.34926e-08	0.000505697	0.000747011	9.54411e-05	4.82237e-15	1.7844e-07	1.7844e-07	1.7844e-07	1.7844e-07	1.7844e-07	
0.00433121	0.00433121	0.00417555	0.00426427	0.00426427	0.00426427	0.00861726	0.00861726	0.000494005	0.000494005	0.000494005	-4.01918e-09	0.00812326	0.00812326	0.00331612	-4.01918e-09	0.00861727	0.00693687	0.000155668	0.00812326	0	0.000494009	0.00480714	0.00331612	8.87236e-05	-5.31224e-15	1.02923e-06	1.02923e-06	1.02923e-06	1.02923e-06	1.02923e-06	
0.0010516	0.0010516	0.000956387	0.00104786	0.00104786	0.00104786	0.0021872	0.0021872	0.00044636	0.00044636	0.00044636	0.000446359	0.00174084	0.00174084	0.00126148	0.000446359	0.00174084	0.000533257	9.52096e-05	0.00174084	1.93179e-14	1.23552e-09	0.000479352	0.00126148	9.1474e-05	-4.30061e-15	8.57835e-07	8.57835e-07	8.57835e-07	8.57835e-07	8.57835e-07	
0.000154931	0.000154931	-1.56109e-05	7.46144e-05	7.46144e-05	7.46144e-05	0.000239454	0.000239454	6.51063e-05	6.51063e-05	6.51063e-05	6.51063e-05	0.000174348	0.000174348	0.000122922	6.51063e-05	0.000174348	7.49959e-05	0.000170542	0.000174348	-8.40994e-15	5.97591e-21	5.14258e-05	0.000122922	9.02253e-05	0	1.90347e-08	1.90347e-08	1.90347e-08	1.90347e-08	1.90347e-08	
