ATP	Glucose	ADP	Glc6P	Fru6P	Fru1,6BP	Fru2,6BP	DHAP	Gly3P	1,3BPG	NAD	NADH	Pi	3PG	2PG	PEP	PYR	LACin	PHP	SER	PSER	Ery4P	6PG	CIT	GLY	Glycogen_n+1	AMP	Xy5P	Glc1P	UDPG	UTP	PPi	UDP	Glycogen_n	GlucoseOut	LACout	SerineOut	GlycineOut	
0.878128	18.2416	1.75418	2.5071	0.887599	3.57792e-05	0.0043	0.00293862	8.60533e-05	3.44004e-06	1.37906	0.0109391	4	0.011574	0.0022891	0.00515419	7.02343e-09	1.0287e-05	0.000853668	0.000228603	0.00027798	0.016	0.39	1.7	0.000905319	263.67	8.36769	0.016	46.001	2.72183e-08	1.0971e-09	1.21453e-06	0.273	6.33043	20	1e-05	1e-05	1e-05	
0.146359	14.0636	0.831878	0.520676	0.224784	8.58981e-06	0.0043	0.000747859	2.63998e-05	1.66562e-07	1.38701	0.00299292	4	0.00194526	0.000352226	0.000578162	0.000541624	0.000461897	0.000148993	0.000115317	7.01389e-05	0.016	0.39	1.7	0.000106462	255.559	10.0218	0.016	9.05403	4.36124e-08	1.99287e-09	2.2129e-07	0.273	14.4412	20	1e-05	1e-05	1e-05	
0.0117132	19.5512	0.233691	0.0576655	0.0264432	1.00647e-06	0.0043	7.15696e-05	2.74543e-06	1.19667e-08	1.37566	0.0143439	4	0.000194165	2.97161e-05	1.78491e-05	3.59714e-05	0.000126871	3.5275e-05	1.52883e-05	1.11976e-05	0.016	0.39	1.7	2.7725e-05	129.112	10.7546	0.016	1.06659	2.72263e-10	1.99752e-11	3.34685e-09	0.273	140.888	20	1e-05	1e-05	1e-05	
0.0764304	18.9182	0.574982	0.284834	0.107221	3.34592e-06	0.0043	0.000457663	1.82908e-05	6.16446e-08	1.38204	0.0079562	4	0.00118649	0.000212952	0.000121867	0.000137487	0.000377633	0.000139814	4.24171e-05	2.19329e-05	0.016	0.39	1.7	0.000110501	205.244	10.3486	0.016	5.00336	3.94397e-09	7.68044e-10	1.51076e-06	0.273	64.7556	20	1e-05	1e-05	1e-05	
0.049152	18.3923	0.481915	0.330449	0.151227	3.48665e-06	0.0043	0.000331007	9.73618e-06	9.76995e-08	1.38315	0.00685193	4	0.00121434	0.000190493	0.000303892	6.74599e-05	0.00039824	0.000193782	8.03266e-05	1.80061e-05	0.016	0.39	1.7	7.92127e-05	204.333	10.4689	0.016	6.05809	5.49797e-09	2.00794e-10	8.08669e-07	0.273	65.6667	20	1e-05	1e-05	1e-05	
0.182874	18.6751	0.861853	0.69489	0.267472	7.91693e-06	0.0043	0.00116266	5.34916e-05	5.11703e-07	1.38491	0.00509374	4	0.00362227	0.000568127	0.00241531	0.00025884	0.00112088	0.000704217	0.00023069	5.50667e-05	0.016	0.39	1.7	0.000255939	203.38	9.95527	0.016	12.3178	2.14778e-08	1.29442e-09	1.3169e-06	0.273	66.6198	20	1e-05	1e-05	1e-05	
0.181601	14.866	0.894886	0.734677	0.248746	2.23403e-05	0.0043	0.00159868	5.80741e-05	6.73271e-07	1.37477	0.0152269	4	0.0050393	0.000886727	0.00111032	0.000288716	0.00125053	0.00114359	0.000153902	0.00012358	0.016	0.39	1.7	0.000199289	238.767	9.92351	0.016	13.8872	1.74761e-08	6.94893e-10	1.33662e-07	0.273	31.2334	20	1e-05	1e-05	1e-05	
0.132219	18.191	0.771681	0.600548	0.220562	1.04782e-05	0.0043	0.000919745	4.51142e-05	3.67974e-07	1.38902	0.000979141	4	0.00262511	0.000441416	0.00182273	0.00185301	0.000549884	0.000392322	9.34332e-05	7.06685e-05	0.016	0.39	1.7	0.000187554	216.779	10.0961	0.016	10.7306	1.8394e-08	8.60887e-10	3.56489e-07	0.273	53.2212	20	1e-05	1e-05	1e-05	
1.60088	9.46674	2.18321	1.89089	0.582388	4.51026e-05	0.0043	0.00266822	9.52193e-05	5.805e-06	1.38377	0.00622791	4	0.0294343	0.00513922	0.00697104	1.12067e-10	9.09372e-06	0.00237389	0.000514333	0.000471383	0.016	0.39	1.7	0.000690052	264.625	7.21591	0.016	32.1701	1.71789e-07	5.08656e-09	2.73165e-06	0.273	5.37513	20	1e-05	1e-05	1e-05	
0.110623	16.3129	0.704981	0.475889	0.151355	9.28217e-06	0.0043	0.00100993	3.81525e-05	3.8052e-07	1.38561	0.00439373	4	0.00495048	0.000777968	0.00166461	0.000641287	0.00142702	0.000660998	0.000166494	0.000195469	0.016	0.39	1.7	0.000476618	249.929	10.1844	0.016	8.48901	9.04528e-08	3.65915e-09	3.74855e-06	0.273	20.0714	20	1e-05	1e-05	1e-05	
0.0176477	19.6365	0.283762	0.10439	0.0462782	1.02483e-06	0.0043	0.000175392	6.39528e-06	2.23845e-08	1.37986	0.0101428	4	0.000295206	4.63757e-05	3.37545e-05	8.60596e-05	0.000122731	6.76241e-05	2.04209e-05	2.14064e-05	0.016	0.39	1.7	6.74238e-05	122.541	10.6986	0.016	1.92726	8.55532e-10	1.22113e-10	1.12369e-07	0.273	147.459	20	1e-05	1e-05	1e-05	
