#parameter	p1	p2	distribution	minCI95	maxCI95	equation
reaction_1_k1	1.0700000000	0.2400000000	lognormal			
reaction_1_k2	0.0023800000	0.0005910000	lognormal			
reaction_2_k1	147.0000000000	61.3100000000	lognormal			
reaction_2_k2	0.1488000000	0.0396500000	lognormal				
reaction_5_vmax	2109860000.0000000000	13145000000.0000000000	lognormal			
reaction_5_Keq	74.1042857143	34.4427000000	lognormal			
reaction_5_Kms	3830.7109567755	139.7611635221	lognormal			
reaction_5_Kmp	3639.1754089367	209.6417452831	lognormal			
reaction_6_kcat	20.5485000000	132.5600000000	lognormal			
reaction_6_Keq	74.1042857143	33.4427000000	lognormal			
reaction_6_Kms	0.1348000000	0.2402000000	lognormal			
reaction_6_Kmp	0.1280600000	0.3603000000	lognormal			
reaction_7_kcat	0.0889915000	0.5544600000	lognormal			
reaction_7_Keq	3.0700000000	0.4811000000	lognormal			
reaction_7_Kms	5422750000.0000000000	0.0000000029	lognormal			
reaction_7_Kmp	5151612500.0000000000	0.0000000044	lognormal			
reaction_8_kcat	7.7330000000	2.5500000000	lognormal			
reaction_8_Keq	3.0700000000	0.4811000000	lognormal			
reaction_8_Kms	8.5800000000	9.4050000000	lognormal			
reaction_8_Kmp	8.1510000000	14.1075000000	lognormal			
reaction_9_kcat	5.8584600000	36.5010000000	lognormal			
reaction_9_Keq	177.0000000000	10.5000000000	lognormal			
reaction_9_Kms	2432180000.0000000000	1300900000.0000000000	lognormal			
reaction_9_Kmp	2310571000.0000000000	1951350000.0000000000	lognormal			
reaction_10_kcat	0.2508300000	0.0239079000	lognormal			
reaction_10_Keq	177.0000000000	10.5000000000	lognormal			
reaction_10_Kms	0.2750000000	1.0010970000	lognormal			
reaction_10_Kmp	0.2612500000	1.5016455000	lognormal			
reaction_11_kcat	0.6484280000	4.0400000000	lognormal			
reaction_11_Keq	177.0000000000	10.5000000000	lognormal			
reaction_11_Kms	0.4760000000	0.0674160000	lognormal			
reaction_11_Kmp	0.4522000000	0.1011240000	lognormal			
reaction_12_vmax	0.0332606000	1.0223100000	lognormal			
reaction_12_Keq	177.0000000000	10.5000000000	lognormal			
reaction_12_Kms	1.5020000000	0.1334800000	lognormal			
reaction_12_Kmp	1.4269000000	0.2002200000	lognormal			
reaction_13_vmax	632512000.0000000000	3940800000.0000000000	lognormal			
reaction_13_Keq	177.0000000000	10.5000000000	lognormal			
reaction_13_Kms	3830.7109567755	139.7611635221	lognormal			
reaction_13_Kmp	3639.1754089367	209.6417452831	lognormal			
reaction_14_kcat	0.0007200000	0.0000600000	lognormal			
reaction_14_Keq	3.0700000000	0.4811000000	lognormal			
reaction_14_Kms	20.2000000000	2.5050000000	lognormal			
reaction_14_Kmp	19.1900000000	3.7575000000	lognormal			
reaction_15_kcat	7.7330000000	0.0002850000	lognormal			
reaction_15_Keq	3.0700000000	0.4811000000	lognormal			
reaction_15_Kms	8.5800000000	10.9725000000	lognormal			
reaction_15_Kmp	8.1510000000	16.4587500000	lognormal			
reaction_16_vmax	7593160.0000000000	47309000.0000000000	lognormal			
reaction_16_Keq	177.0000000000	10.5000000000	lognormal			
